Time (s),Pack Current (A),Mode,Cell 1 Voltage (V),Cell 1 SoC (%),Cell 1 Balancing Active,Cell 2 Voltage (V),Cell 2 SoC (%),Cell 2 Balancing Active,Cell 3 Voltage (V),Cell 3 SoC (%),Cell 3 Balancing Active,Cell 4 Voltage (V),Cell 4 SoC (%),Cell 4 Balancing Active
123,1.5,CC,3.565500000000001,17.050000000000114,0.0,3.5234183673469386,12.091836734693846,0.0,3.6015686274509804,22.009803921568622,0.0,3.5386653225806466,14.066532258064642,0.0
124,1.5,CC,3.565666666666668,17.066666666666784,0.0,3.52358843537415,12.108843537414934,0.0,3.6016830065359478,22.026143790849666,0.0,3.5388333333333346,14.083333333333462,0.0
125,1.5,CC,3.5658333333333343,17.08333333333345,0.0,3.5237585034013605,12.125850340136022,0.0,3.601797385620915,22.042483660130713,0.0,3.539001344086023,14.10013440860228,0.0
126,1.5,CC,3.566000000000001,17.10000000000012,0.0,3.5239285714285713,12.14285714285711,0.0,3.6019117647058825,22.058823529411757,0.0,3.539169354838711,14.1169354838711,0.0
127,1.5,CC,3.5661666666666676,17.116666666666784,0.0,3.5240986394557825,12.159863945578198,0.0,3.6020261437908494,22.075163398692805,0.0,3.539337365591399,14.133736559139917,0.0
128,1.5,CC,3.5663333333333345,17.133333333333454,0.0,3.5242687074829933,12.176870748299287,0.0,3.6021405228758168,22.09150326797385,0.0,3.5395053763440876,14.150537634408735,0.0
129,1.5,CC,3.566500000000001,17.15000000000012,0.0,3.524438775510204,12.193877551020375,0.0,3.602254901960784,22.107843137254896,0.0,3.5396733870967756,14.167338709677555,0.0
130,1.5,CC,3.5666666666666678,17.16666666666679,0.0,3.5246088435374148,12.210884353741463,0.0,3.6023692810457515,22.12418300653594,0.0,3.5398413978494636,14.184139784946373,0.0
131,1.5,CC,3.566833333333334,17.183333333333454,0.0,3.524778911564626,12.227891156462551,0.0,3.602483660130719,22.140522875816988,0.0,3.540009408602152,14.20094086021519,0.0
132,1.5,CC,3.567000000000001,17.200000000000124,0.0,3.5249489795918367,12.244897959183639,0.0,3.602598039215686,22.15686274509803,0.0,3.54017741935484,14.21774193548401,0.0
133,1.5,CC,3.567166666666668,17.21666666666679,0.0,3.5251190476190475,12.261904761904727,0.0,3.6027124183006536,22.17320261437908,0.0,3.5403454301075286,14.234543010752828,0.0
134,1.5,CC,3.5673333333333344,17.23333333333346,0.0,3.5252891156462587,12.278911564625815,0.0,3.602826797385621,22.189542483660123,0.0,3.5405134408602166,14.251344086021648,0.0
135,1.5,CC,3.5675000000000012,17.250000000000128,0.0,3.5254591836734694,12.295918367346905,0.0,3.6029411764705883,22.20588235294117,0.0,3.5406814516129046,14.268145161290466,0.0
136,1.5,CC,3.5676666666666677,17.266666666666794,0.0,3.52562925170068,12.312925170067993,0.0,3.6030555555555557,22.222222222222214,0.0,3.540849462365593,14.284946236559284,0.0
137,1.5,CC,3.5678333333333345,17.283333333333463,0.0,3.525799319727891,12.329931972789081,0.0,3.6031699346405226,22.238562091503262,0.0,3.541017473118281,14.301747311828104,0.0
138,1.5,CC,3.568000000000001,17.30000000000013,0.0,3.525969387755102,12.34693877551017,0.0,3.60328431372549,22.254901960784306,0.0,3.541185483870969,14.318548387096921,0.0
